Город,Адрес,Площадь м2,Год,Этажей,Жилых помещений
Новороссийск,"ул. Энгельса, 35",1202.9,1955,3,12
Новороссийск,"ул. Энгельса, 35А",1217.3,1955,3,12
Новороссийск,"ул. Энгельса, 39",534.8,1920,2,12
Новороссийск,"ул. Энгельса, 41",685.5,1917,2,14
Новороссийск,"ул. Энгельса, 49",2290.88,1930,5,46
Новороссийск,"ул. Энгельса, 51",2191.8,—,4,—
Новороссийск,"ул. Энгельса, 55",2250.39,1956,4,99
Новороссийск,"ул. Энгельса, 57",1374.9,1930,2,26
Новороссийск,"ул. Энгельса, 63",430.2,1928,2,10
Новороссийск,"ул. Энгельса, 66",14000.5,1986,9,187
Новороссийск,"ул. Энгельса, 69А",187.8,1917,1,9
Новороссийск,"ул. Энгельса, 69Б",134.7,1917,2,6
Новороссийск,"ул. Энгельса, 70",2239.6,1954,4,31
Новороссийск,"ул. Энгельса, 71",4188.55,1948,4,33
Новороссийск,"ул. Энгельса, 72",638.7,1954,3,24
Новороссийск,"ул. Энгельса, 74",6414.3,1983,9,104
Новороссийск,"ул. Энгельса, 76",6684.8,1983,9,104
Новороссийск,"ул. Энгельса, 78",6438.2,1983,9,104
Новороссийск,"ул. Энгельса, 79",8393.9,2016,9,96
Новороссийск,"ул. Энгельса, 80",6683,1983,9,104
Новороссийск,"ул. Энгельса, 82",6198.42,1983,9,104
Новороссийск,"ул. Энгельса, 84",3435.7,1983,5,56
Новороссийск,"ул. Энгельса, 91",163.4,1917,1,5
Новороссийск,"ул. Энгельса, 93",27863,2020,23,274
Новороссийск,"ул. Энгельса, 95",18494.4,2018,17,304
Новороссийск,"ул. Энгельса, 98",1767.37,1959,4,48
Новороссийск,"ул. Южная, 1",12319.2,2008,16,320
Новороссийск,"ул. Южная, 10",12766.2,1994,10,240
Новороссийск,"ул. Южная, 10А",4532.6,2014,9,40
Новороссийск,"ул. Южная, 11",8091.7,2008,16,105
Новороссийск,"ул. Южная, 12",4442.8,2007,9,72
Новороссийск,"ул. Южная, 13",9714.5,2012,16,90
Новороссийск,"ул. Южная, 14",9177.8,2006,17,91
Новороссийск,"ул. Южная, 15",2478.5,2012,9,108
Новороссийск,"ул. Южная, 17",5465,2009,9,72
Новороссийск,"ул. Южная, 19",7880.1,2013,17,112
Новороссийск,"ул. Южная, 1А",7588.1,2013,10,90
Новороссийск,"ул. Южная, 21",33589,2014,16,385
Новороссийск,"ул. Южная, 23",10087.3,2013,16,105
Новороссийск,"ул. Южная, 25",16166.4,2015,9,216
Новороссийск,"ул. Южная, 27",39310.9,2017,17,385
Новороссийск,"ул. Южная, 29",9259.1,2016,16,112
Новороссийск,"ул. Южная, 5",9096,2008,16,91
Новороссийск,"ул. Южная, 6",14169.3,1993,10,230
Новороссийск,"ул. Южная, 7",21014.2,2011,9,261
Новороссийск,"ул. Южная, 9",4064.8,2013,16,385
Новороссийск,"ш. Анапское, 10",3494.4,1969,5,69
Новороссийск,"ш. Анапское, 66Б",3007.1,1976,5,60
Новороссийск,"ш. Мысхакское, 56",9373.2,1989,10,164
Новороссийск,"ш. Сухумское, 1",782.9,1960,2,26
